fecha_hora,nivel,proceso,archivo,accion,estado,detalle
2026-05-31 02:10:05,INFO,INGESTA_RAW,-,Revisión de Landing,Éxito,No se encontraron archivos para procesar
2026-05-31 02:10:47,INFO,LIMPIEZA_RAW,Raw_Data_Ventas.xlsx,Excel limpiado y eliminado de raw,Éxito,"Filas iniciales: 52, sin vacías: 52, duplicados eliminados: 0, filas finales: 52"
2026-05-31 02:17:16,INFO,INGESTA_RAW,-,Revisión de Landing,Éxito,No se encontraron archivos para procesar
2026-05-31 02:17:30,INFO,INGESTA_RAW,-,Revisión de Landing,Éxito,No se encontraron archivos para procesar
2026-05-31 02:17:47,INFO,INGESTA_RAW,-,Revisión de Landing,Éxito,No se encontraron archivos para procesar
2026-05-31 02:18:59,INFO,INGESTA_RAW,-,Revisión de Landing,Éxito,No se encontraron archivos para procesar
2026-05-31 02:20:24,WARNING,INGESTA_RAW,nota.txt,Formato no permitido; movido a rejected,Éxito,Extensión detectada: .txt
2026-05-31 02:20:24,INFO,INGESTA_RAW,Prueba 1.csv,Movido a raw/csv,Éxito,Destino final: Prueba 1.csv
2026-05-31 02:20:24,INFO,INGESTA_RAW,Pruebaa.json,Movido a raw/json,Éxito,Destino final: Pruebaa.json
2026-05-31 02:20:24,INFO,INGESTA_RAW,PruebaE.xlsx,Movido a raw/excel,Éxito,Destino final: PruebaE.xlsx
2026-05-31 02:21:12,INFO,INGESTA_RAW,Pruebaa.json,Movido a raw/json,Éxito,Destino final: Pruebaa.json
2026-05-31 02:24:22,ERROR,LIMPIEZA_RAW,PruebaE.xlsx,Error procesando Excel; movido a rejected,Error,Archivo Excel vacío o sin datos válidos
2026-05-31 02:24:22,ERROR,LIMPIEZA_RAW,Pruebaa.json,Error procesando JSON; movido a rejected,Error,Expecting value: line 1 column 1 (char 0)
2026-05-31 02:26:01,INFO,INGESTA_RAW,-,Revisión de Landing,Éxito,No se encontraron archivos para procesar
2026-05-31 02:35:48,INFO,INGESTA_RAW,-,Revisión de Landing,Éxito,No se encontraron archivos para procesar
2026-05-31 02:53:53,INFO,INGESTA_RAW,-,Revisión de Landing,Éxito,No se encontraron archivos para procesar
2026-05-31 02:58:13,INFO,INGESTA_RAW,-,Revisión de Landing,Éxito,No se encontraron archivos para procesar
2026-05-31 02:58:53,INFO,INGESTA_RAW,-,Revisión de Landing,Éxito,No se encontraron archivos para procesar
